From	To
P14174	MIF
Q06520	SULT2A1
Q09428	ABCC8
Q9HBH5	RDH14
P12259	F5
P00374	DHFR
P35408	PTGER4
O00329	PIK3CD
Q96BH3	ELSPBP1
P02585	TNNC2
Q13393	PLD1
Q95460	MR1
Q9GZT4	SRR
P36873	PPP1CC
Q9UDR5	AASS
P68133	ACTA1
P27707	DCK
P15104	GLUL
O75438	NDUFB1
P54687	BCAT1
P00326	ADH1C
O00180	KCNK1
Q9H244	P2RY12
Q99519	NEU1
P40925	MDH1
P42574	CASP3
Q08289	CACNB2
Q96GD3	SCMH1
P13674	P4HA1
P49257	LMAN1
Q13936	CACNA1C
P40394	ADH7
P31513	FMO3
P33151	CDH5
Q14353	GAMT
P29323	EPHB2
Q9UIC8	LCMT1
P54284	CACNB3
P03886	MT-ND1
O00142	TK2
P13051	UNG
P48775	TDO2
P51787	KCNQ1
P52569	SLC7A2
O60494	CUBN
Q13423	NNT
O75762	TRPA1
Q9Y678	COPG1
P16870	CPE
Q15761	NPY5R
Q86XF0	DHFR2
O43613	HCRTR1
P01859	IGHG2
P48357	LEPR
P04183	TK1
Q9HAN9	NMNAT1
Q13427	PPIG
P52758	RIDA
P13929	ENO3
Q16647	PTGIS
P19961	AMY2B
P20292	ALOX5AP
Q9BZV2	SLC19A3
P22310	UGT1A4
Q15825	CHRNA6
P29274	ADORA2A
P22314	UBA1
P53350	PLK1
O00764	PDXK
P49146	NPY2R
Q00535	CDK5
Q8NER1	TRPV1
P30305	CDC25B
Q03393	PTS
P09172	DBH
P55263	ADK
P00390	GSR
Q8NE62	CHDH
P51648	ALDH3A2
P28161	GSTM2
P02708	CHRNA1
P00403	MT-CO2
P28566	HTR1E
P26440	IVD
P19838	NFKB1
P24530	EDNRB
Q02750	MAP2K1
P20594	NPR2
Q9NSA0	SLC22A11
O14793	MSTN
P11678	EPX
P14927	UQCRB
P04629	NTRK1
Q96C36	PYCR2
P54886	ALDH18A1
P11802	CDK4
Q02763	TEK
P68363	TUBA1B
Q9Y2U5	MAP3K2
Q9NZV8	KCND2
P19793	RXRA
Q06187	BTK
Q9P0Z9	PIPOX
P09488	GSTM1
Q02928	CYP4A11
O15111	CHUK
P04234	CD3D
P63316	TNNC1
P49368	CCT3
P47895	ALDH1A3
P49913	CAMP
Q7Z4W1	DCXR
P61587	RND3
Q9GZT9	EGLN1
P42768	WAS
Q9HA77	CARS2
P35754	GLRX
Q96BI3	APH1A
P21589	NT5E
Q99643	SDHC
Q9Y6K0	CEPT1
P10646	TFPI
P53004	BLVRA
P11245	NAT2
Q99712	KCNJ15
P37288	AVPR1A
Q92781	RDH5
Q8WUI4	HDAC7
P30518	AVPR2
O60895	RAMP2
Q96I99	SUCLG2
P34913	EPHX2
O60909	B4GALT2
O75493	CA11
O95342	ABCB11
Q01362	MS4A2
P28329	CHAT
P49591	SARS1
Q12882	DPYD
P06881	CALCA
Q8NFA2	NOXO1
P05412	JUN
P15309	ACP3
P19429	TNNI3
P08709	F7
P53609	PGGT1B
P19404	NDUFV2
P53779	MAPK10
P21926	CD9
P26640	VARS1
O60658	PDE8A
P23284	PPIB
P28062	PSMB8
P18545	PDE6G
